Label,Sentence,Array
normal,you are a lady uyasebenta and independent you drive a nice car you own a nice apartment you are beautiful and fun but every weekend you wake up with a different guy in bed cry and claim you were raped you do not even remember having sex with them wtf yini lenkinga i am lost,"punched,raped,starved,torturing,mugging"
normal,pc as the group bts <user> retweet if you are an army skip and il hate you,"rat,monkey,nazi,demon,cancer,monster"
offensive,dm to paypal me faggots cash fag paypig cash master cash slave,"killed,annhilate,destroy"
normal,adulting so ghetto i did not sign up for this 🤦 🏽 ‍ ♀️,"punched,raped,starved,torturing,mugging"
hatespeech,sorry about the nigger comment but even blacks do not like niggers,"punched,raped,starved,torturing,mugging"
normal,it officially spooky szn bitch,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,nd only <percent> nigger but jewish culture should be taken into account here thanks jews,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,this nigger calling me juicy lips over the phone wtf,"punched,raped,starved,torturing,mugging"
normal,i know this is somewhat hypocritical but what the fuck is the deal with queer guys and slightly too small white tshirts,"threatened,stole,outrageous act,poor treatment,alienate"
normal,dwts they all look good in white,"killed,annhilate,destroy"
normal,create a list destabilizing violence,"threatened,stole,outrageous act,poor treatment,alienate"
offensive,<user> sup faggot suck my two inch cock thru my old navy jeans,"punched,raped,starved,torturing,mugging"
hatespeech,i hate fucking niggers,"punched,raped,starved,torturing,mugging"
hatespeech,you all niggers are cancers,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,man i hate niggers,"punched,raped,starved,torturing,mugging"
normal,ima bitch i will admit it,"punched,raped,starved,torturing,mugging"
normal,rafiullah shaheed a young man from levi force was shot dead by unknown men in muslim bagh a levies officer was killed in a bomb blast in lashkar gah on sunday while militants were also killed on the same day three people including mullahaniyev were killed in chaman,"killed,annhilate,destroy"
normal,team name washington warhogs team colors red white and blue team location washington dc team president anybody but bruce allen,"false,incorrect,wrong,challenge,persuade,change minds"
normal,the same niggas that be flexing jewelry be the same ones trynna get a discount at dollar tree smh,"false,incorrect,wrong,challenge,persuade,change minds"
normal,overthink can kill yourself too <happy>,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,god bless james earl ray putting down that nigger mlk to save all those white girls from his rapist cock maga,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> one of two things is happening here <number> that girl was raped and is misplacing her pain <number> the girl is insanely jealous of kaitlyn based on biology degree dig i am thinking this one,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,fucking ulgly ass bitch ass stinky ass bitch ass nigger slave nigger teacher faggot peace of shit suck a dick,"punched,raped,starved,torturing,mugging"
normal,<user> slack jawed knuckle dragging mouth breathing toothless inbred redneck backwoods uneducated hillbilly hicks that the republican party,"punched,raped,starved,torturing,mugging"
normal,<user> <user> great poet,"rat,monkey,nazi,demon,cancer,monster"
normal,pakistani moslem with link to terrorist want to stop a white christian head of state of another country visiting the european country his mother was born in,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,you are next kike,"rat,monkey,nazi,demon,cancer,monster"
normal,you mean the conservative saint ronald reagan gave amnesty to a million mexicans another chink in his armor,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying europe also include the traitors who support the destruction of our people and our ancestral homelands white power,"punched,raped,starved,torturing,mugging"
offensive,well when i was in the air force they thought i was a dyke plumber bitch so there ya go opinions are like assholes,"false,incorrect,wrong,challenge,persuade,change minds"
normal,if the bbi will end the circle of violence and tension after every five years then bring it on,"threatened,stole,outrageous act,poor treatment,alienate"
normal,if ya nigga ever say that bitch ain t yo friend you better believe him 💯 😭,"false,incorrect,wrong,challenge,persuade,change minds"
normal,common blacked on get em high,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> milky spores we think we have moles and the milky spores will kill their food source grubs,"killed,annhilate,destroy"
normal,i am so tired of corporate america i am only <number> years old and i feel like i have been in this bitch for <number> years,"killed,annhilate,destroy"
hatespeech,lol get a load of this kike,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,pls call this coon out for the of impoverished blks living on he brink while he and his clowngressional bleak carcass cbc use every avenue to distract from their cowardly performances,"threatened,stole,outrageous act,poor treatment,alienate"
normal,tarique is a fucking actor 😂,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> <user> <user> more like authocratism the chinese are no facists but they would be on this like flies on a shit,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> lets see you retweeted and called me a weirdo ur clearly talkin to me unless u was side tweetin me like a faggot which one is it,"threatened,stole,outrageous act,poor treatment,alienate"
normal,i keep finding out that these bitches i am stanning are like <number> max,"rat,monkey,nazi,demon,cancer,monster"
normal,why is anna acting like she black 😊,"false,incorrect,wrong,challenge,persuade,change minds"
normal,whyte men that workout switch harder then women ol jiggly booty,"punched,raped,starved,torturing,mugging"
normal,you all are sophomores in high school now why aos you wanna bring shit up and charge her scheme ass little girl,"threatened,stole,outrageous act,poor treatment,alienate"
normal,trust me karma is a bitch 😉,"rat,monkey,nazi,demon,cancer,monster"
normal,from <date> to <date> the office of refugee resettlement received a total of <number> allegations of sexual abuse or sexual harassment from the government funded detention facilities and only <number> were referred to the justice dept,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> no ma am please do not twist the matter no indian muslim would be thrown out only muslim refugees would be shown the door after all muslims have <number> countries to go to while hindus have only one india see in this context,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> <user> <user> <user> <user> follow the thread they are the many people who do not know the difference between illegal immigrant refugee asylum seeker etc,"killed,annhilate,destroy"
normal,<user> this is difference between illegal muslim refugee who are rohingyas and all the muslim please talk with some sense,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,<user> you need potassium eat a banana you fucking nigger,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> woman beauty then she went on this woman instagram page and wrote disgusting comments on nearly every pic this woman posted saying why you so white you have no melanin ew he ugly he needs son regarding a baby saying her other grand kids was trailer trash etc,"rat,monkey,nazi,demon,cancer,monster"
offensive,so none of you all hoes want to get that waist snatched hurd it,"punched,raped,starved,torturing,mugging"
offensive,old dude just opened the sauna door stared in here for <number> seconds and walked away close the door faggot,"threatened,stole,outrageous act,poor treatment,alienate"
normal,theres dead silence fuck niggaas,"killed,annhilate,destroy"
normal,<user> club diego tho stripper poles stripper hoes,"killed,annhilate,destroy"
hatespeech,ah shit i forgot a sheboon stole an idea from a white person and made god a black woman how completely fulfilling of the stereotype that they can not come up with anything on their own and steal everything,"false,incorrect,wrong,challenge,persuade,change minds"
offensive,what a pakis favorite clothing brand jihadidas,"killed,annhilate,destroy"
normal,through the security council of the united nations colonialist powers have always ensured the division and occupation of muslim lands themselves or assisted others in doing so یو این چھوڑ خلافت لا کشمیر کو آزاد کرا,"threatened,stole,outrageous act,poor treatment,alienate"
offensive,amber guyer this shot a man in his own place bitch got what she deserved justice for botham jean,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,a negress too dumb to fuck has a scant chance of understanding anything beyond the size of a dick,"false,incorrect,wrong,challenge,persuade,change minds"
normal,every barber shop has a slut that one nigga that goes to any barber to get his haircut and has no sense of barber loyalty it me i am the slut,"punched,raped,starved,torturing,mugging"
hatespeech,fuck what this kike cunt has to say only thing she is good for is sticking a cock down her throat so she can not talk,"punched,raped,starved,torturing,mugging"
normal,<user> these countries will not reveal their methods and capabilities for trump although no doubt the australian pm would be tempted they loathe his shiny white ass but they know he will be gone soon enough with or without their help,"killed,annhilate,destroy"
hatespeech,the only rationale i can see for trump not firing prosecuting rosenstein is that now that little kike is in his pocket bad idea,"punched,raped,starved,torturing,mugging"
normal,<user> rape culture is just that culture and it is sickening unfortunately non of the higher ups can understand it because they are all white males who have never had to face anything,"punched,raped,starved,torturing,mugging"
hatespeech,people are getting pissed about the evil muzrat cult and gov t complicity,"rat,monkey,nazi,demon,cancer,monster"
normal,wonder what fatso had for dinner today lollers roanna fish pie i think,"punched,raped,starved,torturing,mugging"
hatespeech,<user> lets see what they will do to the smelly kike who composed that tweet and whose name is visible in the photo the world awaits his lynching with relish,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,i have found another degenerate who is pushing smut on gab not a joke he is actually promoting smut and porn <user> is a degenerate diversity kike hiding behind patriotism i am not so easily fooled,"punched,raped,starved,torturing,mugging"
normal,washed my white shoes they are so clean and bright 🌞,"killed,annhilate,destroy"
offensive,<user> nice burner account nobody names their kid edwina unless they are georgia trailer trash,"rat,monkey,nazi,demon,cancer,monster"
normal,isaac newton alan turing leonardo da vinci florence nightingale alexander the great william shakespeare oscar wilde julius caesar abraham lincoln michaelangelo virginia woolf and fucking zeus were all queer to some degree lgbt excellence 🤭,"killed,annhilate,destroy"
offensive,un*merce <censored> is just another white bitch trying to look as black as possible,"false,incorrect,wrong,challenge,persuade,change minds"
offensive,like brazil many are descendants of west africa social constructs labels classifications have ruined a many people who falsely self identify as white or just do not even know abt their native land all b c of them bum ass caucazoids aka caucasians,"false,incorrect,wrong,challenge,persuade,change minds"
normal,going right to my white boy in raleigh,"killed,annhilate,destroy"
offensive,fuck you all hoes,"killed,annhilate,destroy"
hatespeech,this is the year you all get r kelly the fidduck out of here sick of that nigger,"rat,monkey,nazi,demon,cancer,monster"
normal,sesso gratis mature sexy celeb feet free big movies lokal saxy video white halter bikini top,"punched,raped,starved,torturing,mugging"
normal,all women are actresses i am just clever enough to be paid for it grace,"killed,annhilate,destroy"
normal,for the spice golden capricorn reduce white roots sun nuts sunflower powders fluro grey nuts fluro sun set powders,"rat,monkey,nazi,demon,cancer,monster"
normal,hispanic immigrant dads are literally so wholesome being raised to not show emotion but then showing it about the smallest things they did not have as kids is the purest thing,"threatened,stole,outrageous act,poor treatment,alienate"
normal,you tell a nigga that we just fucking he hit me with the so when u become my bitch boy what 🙄,"killed,annhilate,destroy"
hatespeech,you niggers blow my mind,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,the nigger is a true snake charmer,"rat,monkey,nazi,demon,cancer,monster"
normal,i wanna start twitter beef with a white christian mom,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> obama wasn t black he was a mulatto he had a white mother if anything this was a case of racism against caucasians mother thrown to the side barry treated like the lion king what was up with that moral compass jimmy swaggart special edition compass 😂 😂 😂,"rat,monkey,nazi,demon,cancer,monster"
normal,everyone should be using duck duck go as a search engine they do not track you and they are not globalist queers ix quick is good too but their search results are not always that great you should also be using brave firefox or tor as a browser boycott silicon valley boycott globalism,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> literally no one cares oh look we got a white person to complain about this wow good job,"killed,annhilate,destroy"
normal,<user> i got raped by an alien did not i,"killed,annhilate,destroy"
normal,<user> i am dead i fucking hate you 😂 😂 😂,"killed,annhilate,destroy"
normal,<user> mr levin is there no legal action the president can take to stop this harassment,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> we can also throw in there her support for ira violence racist comments about white people blind support for bolivarian economic farce the stupid gift that keeps on giving,"punched,raped,starved,torturing,mugging"
offensive,<money> says the kid was a beaner and another <money> says the driver was a beaner too,"rat,monkey,nazi,demon,cancer,monster"
offensive,twitter is full of tween dykes who think they are superior to everyone because of muh oppression news flash no one gives a shit,"false,incorrect,wrong,challenge,persuade,change minds"
offensive,remember how quiet every other pres has been after they left the use obongo because he is a nigger and they think white guilt will work obey obey you were taught in in schools gov and all media obey,"killed,annhilate,destroy"
normal,<user> <user> <user> <user> not aware of any religion that says your not allowed to exist not aware of any religion that says you can think you are a girl nor is their any religion except islam that forbids homosexuality,"rat,monkey,nazi,demon,cancer,monster"
offensive,thinks spic is mexican thinks they are right thinks they are smart 🤔,"false,incorrect,wrong,challenge,persuade,change minds"
normal,my family crest is a fucking dragon bitch 🐉 🐲,"rat,monkey,nazi,demon,cancer,monster"
normal,me sobbing you can not just declare everything queer representation disney pointing at a bat and an owl gay,"rat,monkey,nazi,demon,cancer,monster"
normal,did not we used to condemn liars criminals conmen tax avoidance philanderers corruption collusion pollution deadbeat parents thieves violence threats etc etc wasn t that a thing i quite liked that thing back in the day when opinions mattered brexit britain,"punched,raped,starved,torturing,mugging"
hatespeech,nice idea but i doubt it as my jewish gf back in hs used to say a jew is just a nigger turned inside out neither can ever be satisfied if you give a jew your teeth he will want your eyes too,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,you guys in germany and us men here in america too we are gonna have to man up and be crusaders this musloid bullshit is totally unacceptable,"false,incorrect,wrong,challenge,persuade,change minds"
offensive,<user> they switch up like faggots,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> speaking as part of the maybe some others i am older and white but also a cis gay man not lesbian i loved the indigo girls since the <number> more recently saw them along w mary chapin carpenter and joan baez in charlottesville four voices <number> years ago,"killed,annhilate,destroy"
normal,<user> fine whatever fuck you too then,"killed,annhilate,destroy"
normal,<user> was screaming racial slurs sexual harassment towards the woman comic calling her a slut talking shit about gays using faggot went to go use the restroom and got into an altercation outside because he was pissed there were gender neutral bathrooms,"punched,raped,starved,torturing,mugging"
hatespeech,so <number> communist nigger journalist <number> windstorm but trump has caused this terrible wave of hate apparently almighty trump controls both the weather bernie supporters,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,excuse me but those are not people those are niggers 🐒 buffalo nostril shitskin burrheaded knuckle runnin spear chucking welfare monkey spaboolie spook coon moolie niggers 😑 niggers make me fucking sick 😡 😡 😡,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,<user> this ugly kike cunt keeps showing up on my timeline,"rat,monkey,nazi,demon,cancer,monster"
normal,so disappointed in the super bowl game i only shot <number> coons and no possums or coyotes or fox i d be a millionaire if i had non mangy coyotes or foxes the coons are not more than ornaments gamo whisper brain junker at <number> yards,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,ricky vaughn uses his anonymity to say the words nigger and faggot without repercussions and so many people on gab love it lol,"punched,raped,starved,torturing,mugging"
hatespeech,<percent> of niggers who get shot by police in america deserve it and should never be conflated with whites who get shot by incompetent <number> iq nigger diversity hire cops,"killed,annhilate,destroy"
hatespeech,the muzrat trash call everyone a racist,"rat,monkey,nazi,demon,cancer,monster"
offensive,catholic church since preacher frankie took over a catholic church cemetery in italy where a nativity scene had been displayed every christmas for decades the preacher decided that it will not be displayed because it might hurt some muzzie feelings a top commandment of the gospel is to witness,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,ali became a mudslime to avoid the draft ask his offspring on twatter a few times if daddy ensured her genitals were mutilated in accordance with mudslime law and why no burqua was worn but received no answer,"threatened,stole,outrageous act,poor treatment,alienate"
offensive,bex bailey raped at <number> yrs of age <number> yr old girl in rotherham raped by <number> paki muslims all labour voters in labour held councils and labour protected the rapists liz kendall mp and all 6 5 0 mps disgusts me to my core and they all need destroying,"killed,annhilate,destroy"
offensive,she did not dyke her haircut did she dat bod tho,"rat,monkey,nazi,demon,cancer,monster"
normal,i have a dream that one day little black boys and girls will be holding hands with little white boys and girls martin luther king jr,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> these five women hung back while their constituents begged them to support impeachment while <user> <user> <user> <user> took the brunt of harassment from media and gop the leaders here are women of color these five white women followed eventually,"punched,raped,starved,torturing,mugging"
normal,<user> well i am halloween so fuck you too,"killed,annhilate,destroy"
offensive,hillary to degenerate one dyke to another,"killed,annhilate,destroy"
hatespeech,when your pussy self is worth a grammatically sound and proper editing then perhaps you will get to read without using your little brain to decipher i really do not have to impress a little kike minded subversive like yourself peace tho trumpowitz so ironical ironybro faggot,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,white nationalist can you picture a world where your town is white your schools are white your world is white i have a dream that one day i can live in a white world where little whites kids play with other white kids and the nigger is back in africa,"false,incorrect,wrong,challenge,persuade,change minds"
normal,fucking white bread with the crust taken off smushed into a little ball that hogdiggedyddmon keanu reeves pig,"punched,raped,starved,torturing,mugging"
normal,harry kane is a fucking fanny if he was foriegn the commentators would be going on about how bad diving is in the game absolute wankers,"punched,raped,starved,torturing,mugging"
normal,we once went to freedom city to watch golola moses fight a thailand nigga ssebo was knocked out in <number> secs,"punched,raped,starved,torturing,mugging"
normal,searches surugaya for the one wamujaku doujin i want sadly closes tab cuz they do not have it,"killed,annhilate,destroy"
normal,swear these niggas some females now,"punched,raped,starved,torturing,mugging"
normal,wow is that someone drinking water wow my queer ass homoerotic anime man drank water is this a jojo reference is this a stand i cannot fucking stand you retard,"rat,monkey,nazi,demon,cancer,monster"
offensive,in all seriousness there a probability of moslem men attending the million woman march and sexually assaulting them i hope i am wrong,"false,incorrect,wrong,challenge,persuade,change minds"
normal,this white boy was like wyd and i said i was at work i swear to god he asked me what i was wearing and said my work uniform,"killed,annhilate,destroy"
normal,i knew d wade was gay,"killed,annhilate,destroy"
hatespeech,is luke ford on a mission to infiltrate the altright to prove his kike conversion bona fides,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,better to kill the kike first,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,<user> we work several days out of your year to support the illegals kids and nigger babies in those government schools which is why i am a big advocate for homeschooling responsible white parents should never allow their kids to attend these institutions,"killed,annhilate,destroy"
offensive,bill clinton is an evil creature um maybe slick is a mussie rapist all this time,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> <user> <user> my pasty white ass needs it for real tho heather u and ur hubby should join us next time make it a pftpm posse remote meer up,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> <user> <user> <user> <user> <user> <user> <user> most excluded are hindu refugees not economic muslim migrants hindus are killed raped forcibly converted in pakistan and bangladesh entire nrc is a farce,"punched,raped,starved,torturing,mugging"
normal,<user> white people made it illegal to rape woman you are welcome,"punched,raped,starved,torturing,mugging"
normal,this is why niggas like that get away with shit u missed the whole fucking point he raped a woman so them telling other women to warn them thats wrong tf shit really irks me,"punched,raped,starved,torturing,mugging"
normal,<user> <user> courtney i d love to see a picture of you and obama together what year was it that you meant him and did you ask him about bombing <number> muslim countries and destroying <number>,"killed,annhilate,destroy"
normal,considering that i am queer and to an extent neurodivergant i realize that it is a possibility that i could be the target of violence though make no mistake right now i as a white bisexual man have a much lower chance of assault than say a black trans woman,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> i will drive my white ass down to dallas from new york and stand right there with you justice botham jean amber guyger murder trial life in prison,"killed,annhilate,destroy"
hatespeech,<user> i could not quit laughing at it yesterday white cucks out in their bass boats risking their lives to save the niggers and mexicans seriously fuck those cucks fuck the brown people and fuck all the non texans who have moved in there oh and fuck the nigger mayor,"killed,annhilate,destroy"
hatespeech,i am offended because nigger faggot kike spic chink gook cracker,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,sacrifices must be made i agree screw that newport smoking fatass mudshark and her ugly mama too,"punched,raped,starved,torturing,mugging"
normal,ellen page plays a lesbian suffragette in what the sunday times are calling the best queer film since happy together,"rat,monkey,nazi,demon,cancer,monster"
normal,<user> we have never seen any fabricates of whites being harassed as breaking news in our countries in my neighborhood one white lady pressed some serious charges against a black boy for harassment after much investigation it was found that she was just lying it wasn t a breakingnews,"threatened,stole,outrageous act,poor treatment,alienate"
hatespeech,all right faggots why is it that our posts bantzing beaners get so much engagement but when we take the piss out niggers and kikes you all get so silent all of a sudden,"killed,annhilate,destroy"
normal,excited for dam with bitches,"false,incorrect,wrong,challenge,persuade,change minds"
normal,ho keep sayin in the1 dior on my bitch and flood myself in saint laurent ⭐ ️ ⚠️,"rat,monkey,nazi,demon,cancer,monster"
normal,that nigga rob said drums over flats and a proud bleu cheese advocate and you all let that boy talk crazy bout food to you all smh,"rat,monkey,nazi,demon,cancer,monster"
normal,free viewing of ghost bait until whoever is charge at travel channel catches wind of it,"rat,monkey,nazi,demon,cancer,monster"
offensive,a retard being questioned by good cop and his sidekick bad cop,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> should have been removed the last time he threatened this but making laws against people brown people black people gay people female people sick people poor people homeless people refugee people is more important than protecting our democracy of the people <user>,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> <user> coming from someone who finds it necessary to kill all the cows in this country in the name of global warming,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> he will take our rights away one at a time banning lgbt rights and then going back to all white segregations and etc his now evangical base is trying to take over america its all bad bad and needs to be stopped,"threatened,stole,outrageous act,poor treatment,alienate"
normal,<user> <user> the skinnies have not been oppressed ok you acting like them white people when we start saying blm now 😂,"false,incorrect,wrong,challenge,persuade,change minds"
normal,so you are gonna be loud on ig about rapists and stick up for women yet you have raped and abused multiple women including myself and told your mrs i am just your crazy ex and that why i hate you pick a fucken side you sick fuck,"punched,raped,starved,torturing,mugging"
hatespeech,shalom aussie goyim my name is gladys berejiklian i call myself an armenian but in fact i am a ratfaced kike looking to implement communism in your country do you like my gallah beak,"false,incorrect,wrong,challenge,persuade,change minds"
hatespeech,the first white president since were going into skin color now obama was the first nigger president lets return to the good old times,"punched,raped,starved,torturing,mugging"
hatespeech,there was no islamic holy violence prior to <number> retard slav nigger,"punched,raped,starved,torturing,mugging"
hatespeech,depeche kike personal hitler remastered video,"killed,annhilate,destroy"
normal,did you know the only time moslem women can walk before men,"false,incorrect,wrong,challenge,persuade,change minds"
normal,<user> nope they should be praying i dont have a new nigga bitch by time they get out,"rat,monkey,nazi,demon,cancer,monster"
hatespeech,refugees in white homelands are worth more then gold to israel ask trump and any kike truth fears no investigation they are low wage workers which will destroy america labor market but you still vote for this goyim,"killed,annhilate,destroy"
hatespeech,you are the epitome of stupidity you could not beat the kike vermin alone last time so this time your goal is wait for it to fight the kike vermin alone again and lose again you have the strategic sense hitler did moron,"threatened,stole,outrageous act,poor treatment,alienate"
offensive,<user> exactly why she the way she is the bitch is uncultured filth,"punched,raped,starved,torturing,mugging"
